Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Performance,Profit_Margin
31-12-2024,Printer,Office,North,4,3640,348.93,Low,0.09585989
27-11-2022,Mouse,Accessories,East,7,1197,106.53,Low,0.088997494
11-05-2022,Tablet,Electronics,South,5,5865,502.73,Low,0.085716965
16-03-2024,Mouse,Accessories,South,2,786,202.87,Low,0.258104326
10-09-2022,Mouse,Accessories,West,1,509,103.28,Low,0.202907662
01-12-2023,Camera,Electronics,West,1,524,106.35,Low,0.202958015
09-10-2023,Headphones,Accessories,North,7,6167,1027.98,Medium,0.166690449
14-01-2022,Camera,Electronics,South,7,3059,873.5,Low,0.285550834
02-04-2022,Smartwatch,Electronics,East,9,5526,595.28,Low,0.107723489
22-10-2024,Printer,Office,South,8,672,186.37,Low,0.27733631
04-12-2023,Monitor,Accessories,South,6,7074,1357.68,Medium,0.19192536
27-09-2022,Smartwatch,Electronics,East,2,502,137.4,Low,0.273705179
21-12-2023,Tablet,Electronics,North,7,7462,2166.17,High,0.290293487
03-02-2024,Smartphone,Electronics,West,5,4205,585.29,Low,0.139189061
10-10-2023,Camera,Electronics,West,1,570,138.54,Low,0.243052632
16-10-2022,Headphones,Accessories,East,1,441,102.42,Low,0.232244898
15-05-2022,Mouse,Accessories,North,7,7469,589.81,Low,0.078967733
11-02-2023,Tablet,Electronics,South,2,2212,145.75,Low,0.065890597
27-12-2023,Tablet,Electronics,East,5,740,146.39,Low,0.197824324
05-10-2023,Headphones,Accessories,North,1,662,193.92,Low,0.292930514
05-03-2024,Mouse,Accessories,North,7,5712,651.27,Low,0.114017857
18-07-2023,Smartwatch,Electronics,North,3,2739,572.73,Low,0.209101862
25-06-2023,Keyboard,Accessories,West,5,1400,213.63,Low,0.152592857
13-11-2023,Printer,Office,North,3,3477,939.2,Low,0.270117918
09-07-2022,Camera,Electronics,North,5,3475,570.36,Low,0.164132374
11-12-2023,Laptop,Electronics,West,9,6138,1562.14,Medium,0.254503095
18-03-2023,Camera,Electronics,West,5,3665,406.93,Low,0.111031378
09-08-2024,Printer,Office,North,2,2372,206.42,Low,0.087023609
04-05-2024,Laptop,Electronics,North,2,1382,211.11,Low,0.152756874
04-09-2022,Laptop,Electronics,West,1,1126,194.08,Low,0.172362345
21-10-2022,Printer,Office,West,8,1376,152.1,Low,0.110537791
22-01-2024,Mouse,Accessories,West,4,988,147.91,Low,0.149706478
09-04-2023,Laptop,Electronics,North,9,10773,1907.36,Medium,0.177050032
07-02-2023,Headphones,Accessories,South,4,3252,713.46,Low,0.219391144
04-05-2023,Headphones,Accessories,North,3,2739,202.81,Low,0.074045272
18-04-2023,Tablet,Electronics,South,7,2709,702.79,Low,0.259427833
12-12-2022,Printer,Office,West,3,936,201.24,Low,0.215
11-09-2022,Camera,Electronics,West,4,3720,410.92,Low,0.110462366
26-03-2024,Mouse,Accessories,West,5,5320,716.91,Low,0.134757519
20-09-2023,Headphones,Accessories,East,4,804,121.51,Low,0.151131841
25-05-2023,Laptop,Electronics,North,8,1224,246.77,Low,0.201609477
04-12-2022,Headphones,Accessories,South,9,8667,781.78,Low,0.090201915
10-06-2022,Monitor,Accessories,West,3,3018,320.11,Low,0.106066932
